Mot,Ligne,Colonne,Page,identifiant,
AIMER,1,4,choses_de_harry_potter,aimer@choses_de_harry_potter,
CHAUDRON,2,4,choses_de_harry_potter,chaudron@choses_de_harry_potter,
FAIRE,1,5,choses_de_harry_potter,faire@choses_de_harry_potter,
MARQUE DES TÉNÈBRES,2,5,choses_de_harry_potter,marque_des_ténèbres@choses_de_harry_potter,
BAGUETTE MAGIQUE,1,6,choses_de_harry_potter,baguette_magique@choses_de_harry_potter,
CHOIXPEAU,2,6,choses_de_harry_potter,choixpeau@choses_de_harry_potter,
POTION,1,7,choses_de_harry_potter,potion@choses_de_harry_potter,
PAS,2,7,choses_de_harry_potter,pas@choses_de_harry_potter,
ENCORE,1,8,choses_de_harry_potter,encore@choses_de_harry_potter,
C’EST FINI,2,8,choses_de_harry_potter,c’est_fini@choses_de_harry_potter,
JE,1,1,repas,je@repas,
TU,2,1,repas,tu@repas,
ÇA,3,1,repas,ça@repas,
ESSUYER,4,1,repas,essuyer@repas,
ÊTRE,1,2,repas,être@repas,
MANGER,2,2,repas,manger@repas,
REGARDER,3,2,repas,regarder@repas,
VOULOIR,1,3,repas,vouloir@repas,
BOIRE,2,3,repas,boire@repas,
AIDER,3,3,repas,aider@repas,
FOURCHETTE,4,3,repas,fourchette@repas,
AIMER,1,4,repas,aimer@repas,
AVOIR,2,4,repas,avoir@repas,
RENVERSER,3,4,repas,renverser@repas,
SERVIETTE DE TABLE,4,4,repas,serviette_de_table@repas,
QUOI,1,5,repas,quoi@repas,
VERSER,2,5,repas,verser@repas,
AVEC,3,5,repas,avec@repas,
GOBELET,4,5,repas,gobelet@repas,
AFFAMÉ,1,6,repas,affamé@repas,
POUR,2,6,repas,pour@repas,
À,3,6,repas,à@repas,
NOURRITURE,4,6,repas,nourriture@repas,
APPÉTISSANT,1,7,repas,appétissant@repas,
PAS,2,7,repas,pas@repas,
ASSIETTE,3,7,repas,assiette@repas,
NOURRITURE,4,7,repas,nourriture@repas,
,,,nourriture@repas,nourriture,
ENCORE,1,8,repas,encore@repas,
C’EST FINI,2,8,repas,c’est_fini@repas,
CUILLÈRE,3,8,repas,cuillère@repas,
MOTS D’ACCUEIL,4,8,repas,mots_d’accueil@repas,
,,,mots_d’accueil@repas,mots_d’accueil,
JE,1,1,aujourd’hui_à_l’école,je@aujourd’hui_à_l’école,
TU,2,1,aujourd’hui_à_l’école,tu@aujourd’hui_à_l’école,
LIRE,3,1,aujourd’hui_à_l’école,lire@aujourd’hui_à_l’école,
COOL!,4,1,aujourd’hui_à_l’école,cool!@aujourd’hui_à_l’école,
ÊTRE,1,2,aujourd’hui_à_l’école,être@aujourd’hui_à_l’école,
PARLER,2,2,aujourd’hui_à_l’école,parler@aujourd’hui_à_l’école,
REGARDER,3,2,aujourd’hui_à_l’école,regarder@aujourd’hui_à_l’école,
HAAA!,4,2,aujourd’hui_à_l’école,haaa!@aujourd’hui_à_l’école,
VOULOIR,1,3,aujourd’hui_à_l’école,vouloir@aujourd’hui_à_l’école,
ALLER,2,3,aujourd’hui_à_l’école,aller@aujourd’hui_à_l’école,
ÉCRIRE,3,3,aujourd’hui_à_l’école,écrire@aujourd’hui_à_l’école,
AIMER,1,4,aujourd’hui_à_l’école,aimer@aujourd’hui_à_l’école,
APPRENDRE,2,4,aujourd’hui_à_l’école,apprendre@aujourd’hui_à_l’école,
FAIRE,1,5,aujourd’hui_à_l’école,faire@aujourd’hui_à_l’école,
ÉCOLE,4,5,aujourd’hui_à_l’école,école@aujourd’hui_à_l’école,
QUOI,1,6,aujourd’hui_à_l’école,quoi@aujourd’hui_à_l’école,
AMUSANT,2,6,aujourd’hui_à_l’école,amusant@aujourd’hui_à_l’école,
ENNUYEUX,3,6,aujourd’hui_à_l’école,ennuyeux@aujourd’hui_à_l’école,
PROFESSEURS,4,6,aujourd’hui_à_l’école,professeurs@aujourd’hui_à_l’école,
,,,professeurs@aujourd’hui_à_l’école,professeurs,
QUI,1,7,aujourd’hui_à_l’école,qui@aujourd’hui_à_l’école,
PAS,2,7,aujourd’hui_à_l’école,pas@aujourd’hui_à_l’école,
BIEN,3,7,aujourd’hui_à_l’école,bien@aujourd’hui_à_l’école,
AMIS,4,7,aujourd’hui_à_l’école,amis@aujourd’hui_à_l’école,
,,,amis@aujourd’hui_à_l’école,amis,
ENCORE,1,8,aujourd’hui_à_l’école,encore@aujourd’hui_à_l’école,
C’EST FINI,2,8,aujourd’hui_à_l’école,c’est_fini@aujourd’hui_à_l’école,
EXCITANT,3,8,aujourd’hui_à_l’école,excitant@aujourd’hui_à_l’école,
MOTS D’ACCUEIL,4,8,aujourd’hui_à_l’école,mots_d’accueil@aujourd’hui_à_l’école,
,,,mots_d’accueil@aujourd’hui_à_l’école,mots_d’accueil,
DONC,1,1,conjonctions,donc@conjonctions,
JUSQUE,2,1,conjonctions,jusque@conjonctions,
AUTRE,3,1,conjonctions,autre@conjonctions,
FERMER,4,1,conjonctions,fermer@conjonctions,
OR,1,2,conjonctions,or@conjonctions,
PUISQUE,2,2,conjonctions,puisque@conjonctions,
MAIS,3,2,conjonctions,mais@conjonctions,
NE,4,2,conjonctions,ne@conjonctions,
NI,1,3,conjonctions,ni@conjonctions,
ALORS,2,3,conjonctions,alors@conjonctions,
PARCE QUE,3,3,conjonctions,parce_que@conjonctions,
LORSQUE,1,4,conjonctions,lorsque@conjonctions,
COMME,2,4,conjonctions,comme@conjonctions,
ET,3,4,conjonctions,et@conjonctions,
QUE,1,5,conjonctions,que@conjonctions,
SI,2,5,conjonctions,si@conjonctions,
OU,3,5,conjonctions,ou@conjonctions,
JE,1,1,divertissement,je@divertissement,
TU,2,1,divertissement,tu@divertissement,
ÇA,3,1,divertissement,ça@divertissement,
LIVRE,4,1,divertissement,livre@divertissement,
ÊTRE,1,2,divertissement,être@divertissement,
COLORIER,2,2,divertissement,colorier@divertissement,
PROMENER,3,2,divertissement,promener@divertissement,
MAGAZINE,4,2,divertissement,magazine@divertissement,
VOULOIR,1,3,divertissement,vouloir@divertissement,
ÉCOUTER DE LA MUSIQUE,2,3,divertissement,écouter_de_la_musique@divertissement,
BALANÇOIRE,3,3,divertissement,balançoire@divertissement,
ORDINATEUR,4,3,divertissement,ordinateur@divertissement,
AIMER,1,4,divertissement,aimer@divertissement,
JOUER À LA BALLE,2,4,divertissement,jouer_à_la_balle@divertissement,
ÉCOUTEURS,3,4,divertissement,écouteurs@divertissement,
PÂTE À MODELER,4,4,divertissement,pâte_à_modeler@divertissement,
FAIRE,1,5,divertissement,faire@divertissement,
JOUER DEHORS,2,5,divertissement,jouer_dehors@divertissement,
JEU,3,5,divertissement,jeu@divertissement,
TABLETTE,4,5,divertissement,tablette@divertissement,
QUOI,1,6,divertissement,quoi@divertissement,
LIRE,2,6,divertissement,lire@divertissement,
JEU VIDÉO,3,6,divertissement,jeu_vidéo@divertissement,
TÉLÉ,4,6,divertissement,télé@divertissement,
OÙ,1,7,divertissement,où@divertissement,
PAS,2,7,divertissement,pas@divertissement,
BIEN,3,7,divertissement,bien@divertissement,
TRAMPOLINE,4,7,divertissement,trampoline@divertissement,
ENCORE,1,8,divertissement,encore@divertissement,
C’EST FINI,2,8,divertissement,c’est_fini@divertissement,
LEGO,3,8,divertissement,lego@divertissement,
PLUS,4,8,divertissement,plus@divertissement,
,,,plus@divertissement,divertissement_-_2,
ORDINATEUR,1,1,divertissement_-_2,ordinateur@divertissement_-_2,
,,,ordinateur@divertissement_-_2,ordinateurs,
SPORTS,2,1,divertissement_-_2,sports@divertissement_-_2,
,,,sports@divertissement_-_2,sports,
FILMS,1,2,divertissement_-_2,films@divertissement_-_2,
,,,films@divertissement_-_2,films,
JOUETS,2,2,divertissement_-_2,jouets@divertissement_-_2,
,,,jouets@divertissement_-₂,jouets,
ÉLECTRONIQUE,1,3,divertissement_-_2,électronique@divertissement_-_2,
,,,électronique@divertissement_-_2,électronique,
TV,2,3,divertissement_-_2,tv@divertissement_-_2,
,,,tv@divertissement_-_2,tv,
LOISIRS,1,4,divertissement_-_2,loisirs@divertissement_-_2,
,,,loisirs@divertissement_-_2,loisirs,
MUSIQUE,1,5,divertissement_-_2,musique@divertissement_-_2,
,,,musique@divertissement_-_2,musique@divertissement_-_2,
JEUX,1,6,divertissement_-_2,jeux@divertissement_-_2,
,,,jeux@divertissement_-_2,jeux,
LECTURE,1,7,divertissement_-_2,lecture@divertissement_-_2,
,,,lecture@divertissement_-_2,lecture,
SPECTACLES,1,8,divertissement_-_2,spectacles@divertissement_-_2,
,,,spectacles@divertissement_-_2,spectacles,
RETOUR,4,8,divertissement_-_2,retour@divertissement_-_2,
,,,retour@divertissement_-_2,divertissement,
JE,1,1,tv,je@tv,
TU,2,1,tv,tu@tv,
ÇA,3,1,tv,ça@tv,
J’AIME CETTE ÉMISSION,4,1,tv,j’aime_cette_émission_tv,
ÊTRE,1,2,tv,être@tv,
REGARDER,2,2,tv,regarder@tv,
DVD ,3,2,tv,dvd@tv,
JE N’AIME PAS CETTE ÉMISSION,4,2,tv,je_n’aime_pas_cette_émission@tv,
VOULOIR,1,3,tv,vouloir@tv,
TÉLÉ,2,3,tv,télé@tv,
TÉLÉCOMMANDE,3,3,tv,télécommande@tv,
JE VEUX REGARDER,4,3,tv,je_veux_regarder@tv,
AIMER,1,4,tv,aimer@tv,
POSTE DE TÉLÉ,2,4,tv,poste_de_télé@tv,
À MOI,3,4,tv,à@moi@tv,
QUE VEUX-TU REGARDER À LA TÉLÉ?,4,4,tv,que_veux-tu_regarder_à_la_télé?@tv,
FAIRE,1,5,tv,faire@tv,
ÉMISSION DE TÉLÉ,2,5,tv,émission_de_télé@tv,
À TOI,3,5,tv,à_toi@tv,
SPECTACLES,4,5,tv,spectacles@tv,
,,,spectacles@tv,spectacles,
QUOI,1,6,tv,quoi@tv,
FILM,2,6,tv,film@tv,
,,,film@tv,film,
CHANGER DE POSTE,3,6,tv,changer_de_poste@tv,
FILMS,4,6,tv,films@tv,
OÙ,1,7,tv,où@tv,
PAS,2,7,tv,pas@tv,
BIEN,3,7,tv,bien@tv,
POSTES DE TÉLÉ,4,7,tv,postes_de_télé@tv,
,,,postes_de_télé@tv,postes_de_télé,
ENCORE,1,8,tv,encore@tv,
C’EST FINI,2,8,tv,c’est_fini@tv,
J’ADORE CETTE ÉMISSION,3,8,tv,j’adore_cette_émission@tv,
PLUS,4,8,tv,plus@tv,
,,,plus@tv,tv_-_2,
AVANCER,1,1,tv_-_2,avancer@tv_-_2,
QUE VEUX-TU REGARDER À LA TÉLÉ?,2,1,tv_-_2,que_veux-tu_regarder_à_la_télé?@tv_-_2,
METTRE EN PAUSE,1,2,tv_-_2,mettre_en_pause@tv_-_2,
YOUTUBE,2,2,tv_-_2,youtube@tv_-_2,
LIRE,1,3,tv_-_2,lire@tv_-_2,
RECULER,1,4,tv_-_2,reculer@tv_-_2,
ÉTEINDRE LA TÉLÉ,1,5,tv_-_2,éteindre_la_télé@tv_-_2,
ALLUMER LA TÉLÉ,1,6,tv_-_2,allumer_la_télé@tv_-_2,
BAISSER LE VOLUME DE LA TÉLÉ,1,7,tv_-_2,baisser_le_volume_de_la_télé@tv_-_2,
AUGMENTER LE VOLUME DE LA TÉLÉ ,1,8,tv_-_2,augmenter_le_volume_de_la_télé@tv_-_2,
RETOUR,4,8,tv_-_2,retour@tv_-_2,
,,,retour@tv_-_2,tv,
JE,1,1,spectacles,je_spectacles,
TU,2,1,spectacles,tu@spectacles,
ÇA ,3,1,spectacles,ça@spectacles,
ÊTRE ,1,2,spectacles,être@spectacles,
JE VEUX REGARDER,2,2,spectacles,je_veux_regarder@spectacles,
VOULOIR,1,3,spectacles,vouloir@spectacles,
QUE VEUX-TU REGARDER?,2,3,spectacles,que_veux-tu_regarder?@spectacles,
AIMER,1,4,spectacles,aimer@spectacles,
POSTES DE TÉLÉ,2,4,spectacles,postes_de_télé@spectacles,
,,,postes_de_télé@spectacles,postes_de_télé,
FAIRE,1,5,spectacles,faire@spectacles,
QUOI,1,6,spectacles,quoi@spectacles,
OÙ,1,7,spectacles,où@spectacles,
PAS,2,7,spectacles,pas@spectacles,
BIEN,3,7,spectacles,bien@spectacles,
ENCORE,1,8,spectacles,encore@spectacles,
C’EST FINI,2,8,spectacles,c’est_fini@spectacles,
JE,1,1,postes_de_télé,je@postes_de_télé,
TU ,2,1,postes_de_télé,tu@postes_de_télé,
ÇA ,3,1,postes_de_télé,ça@postes_de_télé,
V,4,1,postes_de_télé,v@postes_de_télé,
ÊTRE,1,2,postes_de_télé,être@postes_de_télé,
CHAÎNES DE TÉLÉ,2,2,postes_de_télé,chaînes_de_télé@postes_de_télé,
MUSIQUEPLUS,3,2,postes_de_télé,musiqueplus@postes_de_télé,
VOULOIR,1,3,postes_de_télé,vouloir@postes_de_télé,
CHAÎNE MÉTÉO,2,3,postes_de_télé,chaîne_météo@postes_de_télé,
NETFLIX,3,3,postes_de_télé,netflix@postes_de_télé,
AIMER,1,4,postes_de_télé,aimer@postes_de_télé,
CNN,2,4,postes_de_télé,cnn@postes_de_télé,
RDS,3,4,postes_de_télé,rds@postes_de_télé,
FAIRE,1,5,postes_de_télé,faire@postes_de_télé,
DISNEY CHANNEL,2,5,postes_de_télé,disney_channel@postes_de_télé,
TÉLÉ-QUEBEC,3,5,postes_de_télé,télé-quebec@postes_de_télé,
QUOI,1,6,postes_de_télé,quoi@postes_de_télé,
ICI RADIO-CANADA TÉLÉ,2,6,postes_de_télé,ici_radio-canada_télé@postes_de_télé,
TÉLÉTOON,3,6,postes_de_télé,télétoon@postes_de_télé,
OÙ,1,7,postes_de_télé,où@postes_de_télé,
PAS,2,7,postes_de_télé,pas@postes_de_télé,
BIEN,3,7,postes_de_télé,bien@postes_de_télé,
ENCORE,1,8,postes_de_télé,encore@postes_de_télé,
C’EST FINI,2,8,postes_de_télé,c’est_fini@postes_de_télé,
TVA,3,8,postes_de_télé,tva@postes_de_télé,
PLUS,4,8,postes_de_télé,plus@postes_de_télé,
,,,plus@postes_de_télé,postes_de_télé_-_2,
CBS,1,1,postes_de_télé_-_2,cbs@postes_de_télé_-_2,
DISCOVERY CHANNEL,1,2,postes_de_télé_-_2,discovery_channel@postes_de_télé_-_2,
FOOD NETWORK,1,3,postes_de_télé_-_2,food_network@postes_de_télé_-_2,
FOX,1,4,postes_de_télé_-_2,fox@postes_de_télé_-_2,
MTV,1,5,postes_de_télé_-_2,mtv@postes_de_télé_-_2,
NICKELODEON,1,6,postes_de_télé_-_2,nickelodeon@postes_de_télé_-_2,
RETOUR,4,8,postes_de_télé_-_2,retour@postes_de_télé_-_2,
,,,retour@postes_de_télé_-_2,postes_de_télé,
JE ,1,1,jeux,je@jeux,
TU,2,1,jeux,tu@jeux,
ÇA,3,1,jeux,ça@jeux,
DÉ,4,1,jeux,dé@jeux,
ÊTRE,1,2,jeux,être@jeux,
TRICHER,2,2,jeux,tricher@jeux,
JOUER,3,2,jeux,jouer@jeux,
JEU,4,2,jeux,jeu@jeux,
VOULOIR,1,3,jeux,vouloir@jeux,
PERDRE,2,3,jeux,perdre@jeux,
CHOISIR,3,3,jeux,choisir@jeux,
PION,4,3,jeux,pion@jeux,
AIMER,1,4,jeux,aimer@jeux,
PARIER,2,4,jeux,parier@jeux,
SECOUER,3,4,jeux,secouer@jeux,
ROUE À TOURNER,4,4,jeux,roue_à_tourner@jeux,
FAIRE,1,5,jeux,faire@jeux,
BOUGER,2,5,jeux,bouger@jeux,
SAUTER,3,5,jeux,sauter@jeux,
JEUX DE SOCIÉTÉ,4,5,jeux,jeux_de_société@jeux,
,,,jeux_de_société@jeux,jeux_de_société,
QUOI,1,6,jeux,quoi@jeux,
ROULER,2,6,jeux,rouler@jeux,
TOURNER,3,6,jeux,tourner@jeux,
OÙ,1,7,jeux,où@jeux,
PAS,2,7,jeux,pas@jeux,
BIEN,3,7,jeux,bien@jeux,
ENCORE,1,8,jeux,encore@jeux,
C’EST FINI,2,8,jeux,c’est_fini@jeux,
GAGNER,3,8,jeux,gagner@jeux,
PLUS,4,8,jeux,plus@jeux,
,,,plus@jeux,jeux_-_2,
À QUEL JEU VEUX TU JOUER?,1,1,jeux_-_2,à_quel_jeu_veux_tu_jouer?@jeux_-_2,
FAIRE ROULER LE DÉ,2,1,jeux_-_2,faire_rouler_le_dé@jeux_-_2,
JE PEUX JOUER?,1,2,jeux_-_2,je_peux_jouer?@jeux_-_2,
FAIS TOURNER POUR MOI,2,2,jeux_-_2,fais_tourner_pour_moi@jeux_-_2,
COMMENT ON JOUE?,1,3,jeux_-_2,comment_on_joue?@jeux_-_2,
NE PAS TRICHER,2,3,jeux_-_2,ne_pas_tricher@jeux_-_2,
QUELLE COULEUR DE PION?,1,4,jeux_-_2,quelle_couleur_de_pion?@jeux_-_2,
RECOMMENCE,2,4,jeux_-_2,recommence@jeux_-_2,
QUI COMMENCE?,1,5,jeux_-_2,qui_commence?@jeux_-_2,
JE VEUX RECOMMENCER,2,5,jeux_-_2,je_veux_recommencer@jeux_-_2,
C’EST QUAND MON TOUR?,1,6,jeux_-_2,c’est_quand_mon_tour?@jeux_-_2,
JOUONS ENCORE,2,6,jeux_-_2,jouons_encore@jeux_-_2,
AS-TU,1,7,jeux_-_2,as-tu@jeux_-_2,
À MOI,2,7,jeux_-_2,à_moi@jeux_-_2,
DÉPLACEZ MON PION,1,8,jeux_-_2,déplacez_mon_pion@jeux_-_2,
À TOI,2,8,jeux_-_2,à_toi@jeux_-_2,
RETOUR,4,8,jeux_-_2,retour@jeux_-_2,
,,,retour@jeux_-_2,jeux,
NOMBRES,1,1,école,nombres@école,
,,,nombres@école,nombres,
PROFESSEURS,2,1,école,professeurs@école,
,,,professeurs@école,professeurs,
CALENDRIER,3,1,école,calendrier@école,
RÈGLES,4,1,école,règles@école,
COULEURS,1,2,école,couleurs@école,
,,,couleurs@école,couleurs,
MATÉRIEL D’ART PLASTIQUE,2,2,école,matériel_d’art_plastique@école,
,,,matériel_d’art_plastique@école,matériel_d’art_plastique,
COMMISSION SCOLAIRE,3,2,école,commission_scolaire@école,
SAC À DOS,4,2,école,sac_à_dos@école,
FORMES,1,3,école,formes@école,
,,,formes@école,formes,
ABSENT,2,3,école,absent@école,
DEVOIRS,3,3,école,devoirs@école,
SCIENCE,4,3,école,science@école,
CALENDRIER,1,4,école,calendrier@école,
,,,calendrier@école,calendrier,
ÉCOLE,2,4,école,école@école,
EXERCICE D’ÉVACUATION EN CAS D’INCENDIE,3,4,école,exercice_d’évacuation_en_cas_d’incendie@école,
TABLEAU BLANC,4,4,école,tableau_blanc@école,
HORAIRE,1,5,école,horaire@école,
,,,horaire@école,horaire,
AGENDA,2,5,école,agenda@école,
FEUILLE DE TRAVAIL,3,5,école,feuille_de_travail@école,
TABLEAU D’AFFICHAGE,4,5,école,tableau_d’affichage@école,
QUOI,1,6,école,quoi@école,
BOÎTE À LUNCH,2,6,école,boîte_à_lunch@école,
FONTAINE D’EAU,3,6,école,fontaine_d’eau@école,
TEST,4,6,école,test@école,
OÙ,1,7,école,où@école,
PAS,2,7,école,pas@école,
HYGIÈNE,3,7,école,hygiène@école,
ARTS PLASTIQUES,4,7,école,arts_plastiques@école,
ENCORE,1,8,école,encore@école,
C’EST FINI,2,8,école,c’est_fini@école,
MATH,3,8,école,math@école,
PAGE SUIVANTE,4,8,école,page_suivante@école,
,,,page_suivante@école,école_-_2,
VACANCES SCOLAIRES,1,1,école_-_2,vacances_scolaires@école_-_2,
PAGE PRÉCÉDENTE,4,7,école_-_2,page_précédente@école_-_2,
,,,page_précédente@école_-_2,école,
PLUS,4,8,école_-_2,plus@école_-_2,
,,,plus@école_-_2,école_-_3,
IL EST L’HEURE,1,1,école_-_3,il_est_l’heure@école_-_3,
SCIENCES,2,1,école_-_3,sciences@école_-_3,
,,,sciences@école_-_3,sciences,
ART,1,2,école_-_3,art@école_-_3,
,,,art@école_-_3,arts,
MES RÈGLES,2,2,école_-_3,mes_règles@école_-_3,
,,,mes_règles@école_-_3,mes_règles,
GÉOGRAPHIE,1,3,école_-_3,géographie@école_-_3,
,,,géographie@école_-_3,géographie,
LIVRE D’EXERCICE,2,3,école_-_3,livre_d’exercice@école_-_3,
HISTOIRE,1,4,école_-_3,histoire@école_-_3,
,,,histoire@école_-_3,histoire,
DÉLÉGUÉ DE CLASSE,2,4,école_-_3,délégué_de_classe@école_-_3,
MATHS,1,5,école_-_3,maths@école_-_3,
,,,maths@école_-_3,maths,
PRÉSENTATION ORALE,2,5,école_-_3,présentation_orale@école_-_3,
ARGENT,1,6,école_-_3,argent@école_-_3,
,,,argent@école_-_3,argent,
PRÉSENCE,2,6,école_-_3,présence@école_-_3,
MUSIQUE,1,7,école_-_3,musique@école_-_3,
,,,musique@école_-_3,musique,
TABLEAU,2,7,école_-_3,tableau@école_-_3,
SIGNAUX DE SÉCURITÉ,1,8,école_-_3,signaux_de_sécurité@école_-_3,
,,,signaux_de_sécurité@école_-_3,signaux_de_sécurité,
TEMPS DE RÉFLEXION,2,8,école_-_3,temps_de_réflexion@école_-_3,
RETOUR,4,8,école_-_3,retour@école_-_3,
,,,retour@école_-_3,école,
JE,1,1,calendrier,je@calendrier,
TU,2,1,calendrier,tu@calendrier,
ÇA,3,1,calendrier,ça@calendrier,
ÊTRE,1,2,calendrier,être@calendrier,
DEMAIN ON SERA,2,2,calendrier,demain_on_sera@calendrier,
2014,3,2,calendrier,2014@calendrier,
VOULOIR,1,3,calendrier,vouloir@calendrier,
JOURS DE LA SEMAINE,2,3,calendrier,jours_de_la_semaine@calendrier,
,,,jours_de_la_semaine@calendrier,jours_de_la_semaine,
2015,3,3,calendrier,2015@calendrier,
AIMER,1,4,calendrier,aimer@calendrier,
MOIS,2,4,calendrier,mois@calendrier,
,,,mois@calendrier,mois,
2016,3,4,calendrier,2016@calendrier,
HIER ON ÉTAIT,1,5,calendrier,hier_on_était@calendrier,
NUMÉROS DE CALENDRIER,2,5,calendrier,numéros_de_calendrier@calendrier,
,,,numéros_de_calendrier@calendrier,numéros_de_calendrier,
2017,3,5,calendrier,2017@calendrier,
AUJOURD’HUI ON EST,1,6,calendrier,aujourd’hui_on_est@calendrier,
MÉTÉO,2,6,calendrier,météo@calendrier,
,,,météo@calendrier,météo,
À,3,6,calendrier,à@calendrier,
QUAND,1,7,calendrier,quand@calendrier,
PAS ,2,7,calendrier,pas@calendrier,
2018,3,7,calendrier,2018@calendrier,
MAINTENANT ,1,8,calendrier,maintenant@calendrier,
APRÈS,2,8,calendrier,après@calendrier,
LUNDI,1,2,jours_de_la_semaine,lundi@jours@de@la@semaine,
JEUDI ,2,2,jours_de_la_semaine,jeudi@jours_de_la_semaine,
FERMER,3,2,jours_de_la_semaine,fermer@jours_de_la_semaine,
MARDI,1,3,jours_de_la_semaine,mardi@jours_de_la_semaine,
VENDREDI,2,3,jours_de_la_semaine,vendredi@jours_de_la_semaine,
DIMANCHE,3,3,jours_de_la_semaine,dimanche@jours_de_la_semaine,
MERCREDI,1,4,jours_de_la_semaine,mercredi@jours_de_la_semaine,
SAMEDI,2,4,jours_de_la_semaine,samedi@jours_de_la_semaine,
JANVIER.,1,3,mois,janvier@mois,
MAI.,2,3,mois,mai@mois,
SEPTEMBRE.,3,3,mois,septembre@mois,
FERMER,4,3,mois,fermer@mois,
FÉVRIER.,1,4,mois,février@mois,
JUIN.,2,4,mois,juin@mois,
OCTOBRE.,3,4,mois,octobre@mois,
MARS.,1,5,mois,mars@mois,
JUILLET.,2,5,mois,juillet@mois,
NOVEMBRE.,3,5,mois,novembre@mois,
AVRIL.,1,6,mois,avril@mois,
AOÛT.,2,6,mois,août@mois,
DÉCEMBRE.,3,6,mois,décembre@mois,
1,1,1,numéros_de_calendrier,1@numéros_de_calendrier,
9,2,1,numéros_de_calendrier,9@numéros_de_calendrier,
17,3,1,numéros_de_calendrier,17@numéros_de_calendrier,
25,4,1,numéros_de_calendrier,25@numéros_de_calendrier,
2,1,2,numéros_de_calendrier,2@numéros_de_calendrier,
10,2,2,numéros_de_calendrier,10@numéros_de_calendrier,
18,3,2,numéros_de_calendrier,18@numéros_de_calendrier,
26,4,2,numéros_de_calendrier,26@numéros_de_calendrier,
3,1,3,numéros_de_calendrier,3@numéros_de_calendrier,
11,2,3,numéros_de_calendrier,11@numéros_de_calendrier,
19,3,3,numéros_de_calendrier,19@numéros_de_calendrier,
27,4,3,numéros_de_calendrier,27@numéros_de_calendrier,
4,1,4,numéros_de_calendrier,4@numéros_de_calendrier,
12,2,4,numéros_de_calendrier,12@numéros_de_calendrier,
20,3,4,numéros_de_calendrier,20@numéros_de_calendrier,
28,4,4,numéros_de_calendrier,28@numéros_de_calendrier,
5,1,5,numéros_de_calendrier,5@numéros_de_calendrier,
13,2,5,numéros_de_calendrier,13@numéros_de_calendrier,
21,3,5,numéros_de_calendrier,21@numéros_de_calendrier,
29,4,5,numéros_de_calendrier,29@numéros_de_calendrier,
6,1,6,numéros_de_calendrier,6@numéros_de_calendrier,
14,2,6,numéros_de_calendrier,14@numéros_de_calendrier,
22,3,6,numéros_de_calendrier,22@numéros_de_calendrier,
30,4,6,numéros_de_calendrier,30@numéros_de_calendrier,
7,1,7,numéros_de_calendrier,7@numéros_de_calendrier,
15,2,7,numéros_de_calendrier,15@numéros_de_calendrier,
23,3,7,numéros_de_calendrier,23@numéros_de_calendrier,
31,4,7,numéros_de_calendrier,31@numéros_de_calendrier,
8,1,8,numéros_de_calendrier,8@numéros_de_calendrier,
16,2,8,numéros_de_calendrier,16@numéros_de_calendrier,
24,3,8,numéros_de_calendrier,24@numéros_de_calendrier,
JE,1,1,météo,je@météo,
TU,2,1,météo,tu@météo,
ENSOLEILLÉ,3,1,météo,ensoleillé@météo,
ORAGE,4,1,météo,orage@météo,
ÊTRE,1,2,météo,être@météo,
FAIRE,2,2,météo,faire@météo,
FRAIS,3,2,météo,frais@météo,
TEMPÊTE DE NEIGE,4,2,météo,tempête_de_neige@météo,
VOULOIR,1,3,météo,vouloir@météo,
GELER,2,3,météo,geler@météo,
FROID,3,3,météo,froid@météo,
VENT,4,3,météo,vent@météo,
AIMER,1,4,météo,aimer@météo,
NEIGER,2,4,météo,neiger@météo,
NUAGEUX,3,4,météo,nuageux@météo,
TRÈS,1,5,météo,très@météo,
PLEUVOIR,2,5,météo,pleuvoir@météo,
VENTEUX,3,5,météo,venteux@météo,
VRAIMENT,1,6,météo,vraiment@météo,
BRUMEUX,2,6,météo,brumeux@météo,
BRUME,3,6,météo,brume@météo,
MOINS,1,7,météo,moins@météo,
PAS,2,7,météo,pas@météo,
GLACE,3,7,météo,glace@météo,
ENCORE,1,8,météo,encore@météo,
CHAUD,2,8,météo,chaud@météo,
NUAGE,3,8,météo,nuage@météo,
PLUS,4,8,météo,plus@météo,
,,,plus@météo,météo_-_2,
ARC-EN-CIEL,1,1,météo_-_2,arc-en-ciel@météo_-_2,
TEMPÉRATURE,2,1,météo_-_2,température@météo_-_2,
BRUINE,1,2,météo_-_2,bruine@météo_-_2,
TONNERRE,2,2,météo_-_2,tonnerre@météo_-_2,
ÉCLAIR,1,3,météo_-_2,éclair@météo_-_2,
TORNADE,2,3,météo_-_2,tornade@météo_-_2,
GEL,1,4,météo_-_2,gel@météo_-_2,
VERGLAS,2,4,météo_-_2,verglas@météo_-_2,
GRÊLE,1,5,météo_-_2,grêle@météo_-_2,
OURAGAN,1,6,météo_-_2,ouragan@météo_-_2,
PRÉVISION MÉTÉO,1,7,météo_-_2,prévision_météo@météo_-_2,
STALACTITES,1,8,météo_-_2,stalactites@météo_-_2,
RETOUR,4,8,météo_-_2,retour@météo_-_2,
,,,retour@météo_-_2,météo,
JE,1,1,horaire,je@horaire,
TU,2,1,horaire,tu@horaire,
