Mot,Ligne,Colonne,Page,identifiant,
JURER,2,3,émotion_action_-_2,jurer@émotion_action_-_2,
FÊTER,1,4,émotion_action_-_2,fêter@émotion_action_-_2,
TAQUINER,2,4,émotion_action_-_2,taquiner@émotion_action_-_2,
TUER,1,5,émotion_action_-_2,tuer@émotion_action_-_2,
REMERCIER,2,5,émotion_action_-_2,remercier@émotion_action_-_2,
ÉPOUSER,1,6,émotion_action_-_2,épouser@émotion_action_-_2,
PLEURNICHER,2,6,émotion_action_-_2,pleurnicher@émotion_action_-_2,
FAIRE LA GRIMACE,1,7,émotion_action_-_2,faire_la_grimace@émotion_action_-_2,
ESTIMER,1,8,émotion_action_-_2,estimer@émotion_action_-_2,
RETOUR,4,8,émotion_action_-_2,retour@émotion_action_-_2,
,,,retour@émotion_action_-_2,émotion_action,
JE,1,1,a-z_verbes,je@a-z_verbes,
TU,2,1,a-z_verbes,tu@a-z_verbes,
ÇA,3,1,a-z_verbes,ça@a-z_verbes,
O,4,1,a-z_verbes,o@a-z_verbes,
,,,o@a-z_verbes,o_verbes,
ÊTRE,1,2,a-z_verbes,être@a-z_verbes,
C,2,2,a-z_verbes,c@a-z_verbes,
,,,c@a-z_verbes,c_verbes ,
H,3,2,a-z_verbes,h@a-z_verbes,
,,,h@a-z_verbes,h_verbes ,
P,4,2,a-z_verbes,p@a-z_verbes,
,,,p@a-z_verbes,p_verbes,
VOULOIR,1,3,a-z_verbes,vouloir@a-z_verbes,
D,2,3,a-z_verbes,d@a-z_verbes,
,,,d@a-z_verbes,d_verbes,
I,3,3,a-z_verbes,i@a-z_verbes,
,,,i@a-z_verbes,i_verbes ,
Q,4,3,a-z_verbes,q@a-z_verbes,
,,,q@a-z_verbes,q_verbes,
AIMER,1,4,a-z_verbes,aimer@a-z_verbes,
E,2,4,a-z_verbes,e@a-z_verbes,
,,,e@a-z_verbes,e_verbes ,
J,3,4,a-z_verbes,j@a-z_verbes,
,,,j@a-z_verbes,j_verbes,
R,4,4,a-z_verbes,r@a-z_verbes,
,,,r@a-z_verbes,r_verbes,
FAIRE,1,5,a-z_verbes,faire@a-z_verbes,
F,2,5,a-z_verbes,f@a-z_verbes,
,,,f@a-z_verbes,f_verbes,
K,3,5,a-z_verbes,k@a-z_verbes,
,,,k@a-z_verbes,k_verbes,
S,4,5,a-z_verbes,s@a-z_verbes,
,,,s@a-z_verbes,s_verbes,
A,1,6,a-z_verbes,a@a-z_verbes,
,,,a@a-z_verbes,a_verbes,
G,2,6,a-z_verbes,g@a-z_verbes,
,,,g@a-z_verbes,g_verbes ,
L,3,6,a-z_verbes,l@a-z_verbes,
,,,l@a-z_verbes,l_verbes,
T,4,6,a-z_verbes,t@a-z_verbes,
,,,t@a-z_verbes,t_verbes ,
B,1,7,a-z_verbes,b@a-z_verbes,
,,,b@a-z_verbes,b_verbes,
PAS,2,7,a-z_verbes,pas@a-z_verbes,
M,3,7,a-z_verbes,m@a-z_verbes,
,,,m@a-z_verbes,m_verbes,
U,4,7,a-z_verbes,u@a-z_verbes,
,,,u@a-z_verbes,u_verbes,
ENCORE,1,8,a-z_verbes,encore@a-z_verbes,
C’EST FINI,2,8,a-z_verbes,c’est_fini@a-z_verbes,
N,3,8,a-z_verbes,n@a-z_verbes,
,,,n@a-z_verbes,n_verbes,
PAGE SUIVANTE,4,8,a-z_verbes,page_suivante@a-z_verbes,
,,,page_suivante@a-z_verbes,a-z_verbes_-_2,
V,1,1,a-z_verbes_-_2,v@a-z_verbes_-_2,
